상품명,1,2,3,4,5,6,7,8,9,10,11,12,합계(원)
키친플라워 대용량 디지털 에어프라이어 5L,1486081000,1094786000,191800000,725695000,0,0,81446000,0,0,0,0,0,3579808000
일시불 종근당건강 락토핏 생유산균골드 단하루,0,0,155050000,351635000,362568000,366294000,317312000,327310000,310915000,321047000,515963000,526985000,3555079000
국내산 손질 햇 갑오징어 9팩,0,0,0,0,0,0,0,0,0,0,2095524000,1429257000,3524781000
(쿠)일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),0,0,229570000,227446000,450489000,511944000,452109000,205597000,343608000,643248000,424316000,0,3488327000
고칼슘검은콩두유48팩+호두아몬드 두유48팩,0,0,0,0,0,0,0,162001000,1283779000,133159000,842209000,881677000,3302825000
하림뼈없는양념닭발세트,0,0,0,0,0,0,0,420256000,718095000,1281684000,357745000,516070000,3293850000
파격가 노비타 스마트 비데 무료설치,0,0,0,0,0,272381000,224722000,85912000,211245000,543350000,885002000,1052284000,3274896000
피시원 국내산 햇 손질문어 7팩,0,0,0,0,0,0,0,0,0,665634000,1148563000,1377827000,3192024000
보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,0,772244000,635764000,671919000,573859000,524058000,0,0,0,0,0,0,3177844000
헤스티지 엘레나 라쿤양가죽 콤비 롱코트,675909000,665014000,0,0,0,0,0,0,0,0,995028000,831071000,3167022000
정직한 농부의 석류,0,0,0,0,0,0,0,0,750771000,932692000,446859000,1015734000,3146056000
오모떼 프런트후크 프레쉬 데오브라 시즌3,0,0,592280000,1099988000,1315655000,0,0,0,0,0,0,0,3007923000
에버라스트 드로즈 10+4종,0,0,0,0,1458797000,171617000,0,55629000,642577000,621959000,0,0,2950579000
무이자 LG 휘센 씽큐 에어컨 2IN1형 FQ17V9KWA2,0,0,0,519248000,1729338000,429118000,79116000,192056000,0,0,0,0,2948876000
영광 生 모시떡 100개!!(동부기피70개+검정깨30개),0,0,0,683738000,1002086000,0,99788000,601205000,0,461709000,79528000,0,2928054000
파뷔에 항균도마 1+1세트,0,0,0,1483191000,1219070000,140380000,0,0,0,0,0,0,2842641000
헤스티지 그레이스 양가죽 코트,0,0,1691935000,91774000,0,0,101629000,0,565580000,385480000,0,0,2836398000
비버리힐스폴로클럽 남성기초세트(플라센타아이크림+선크림),0,0,0,0,0,853284000,1450216000,513377000,0,0,0,0,2816877000
피시원 국내산 햇 손질문어 8팩,0,0,0,0,0,0,0,452290000,2062024000,292955000,0,0,2807269000
보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,0,638296000,502197000,599441000,533070000,526872000,0,0,0,0,0,0,2799876000
무이자 삼성 노트북 9 메탈 고급형 NT900X5J-K28,570105000,1182750000,825849000,0,43671000,0,0,0,0,0,0,0,2622375000
푸마 드라이셀 퓨징 브라세트 패키지,0,319625000,1995602000,306729000,0,0,0,0,0,0,0,0,2621956000
무이자 쿠쿠전기밥솥 10인용,118795000,710315000,725421000,722354000,288930000,0,0,0,0,0,0,0,2565815000
천수봉명인 선재 전통 메주세트,1463732000,1071319000,0,0,0,0,0,0,0,0,0,0,2535051000
일시불 LG 울트라HD TV 55UK6800HNC,274164000,310462000,198570000,469671000,436340000,212839000,373874000,213474000,0,0,0,0,2489394000
궁중 손질새우 200미 + 동태포 400g,0,0,0,0,0,0,0,952356000,1531436000,0,0,0,2483792000
칼리베이직 여성백 3종세트,0,915149000,1560370000,0,0,0,0,0,0,0,0,0,2475519000
NNF SS트레이닝 세트,0,0,918674000,1257740000,275639000,0,0,0,0,0,0,0,2452053000
보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,0,539344000,466676000,529926000,462608000,424226000,0,0,0,0,0,0,2422780000
깐깐송도순 포기김치 10kg,0,0,0,0,0,0,84045000,1195831000,536387000,596781000,0,0,2413044000
보루네오 루나시즌2 유로탑 멀티수납형 LED침대 슈퍼싱글,0,0,0,0,0,0,447441000,550152000,466519000,578337000,312517000,38481000,2393447000
  뉴트리원 다이어트 구미,0,0,0,0,138220000,1149080000,1023119000,78940000,0,0,0,0,2389359000
무이자 올리고 가스와이드그릴레인지 프리미엄형,0,0,0,275223000,205799000,392563000,536378000,700860000,245184000,0,0,0,2356007000
코몽트 덤블 플리스 자켓 2종,0,0,0,0,0,0,0,0,0,0,69139000,2285910000,2355049000
국내산 손질 통오징어 21미,0,0,0,0,0,0,0,0,220906000,1197714000,313611000,600752000,2332983000
[K-SWISS] 19 F/W 남성 패딩 트랙수트 2종,0,0,0,0,0,0,0,0,0,759996000,1380224000,154293000,2294513000
레이프릴 오가닉 코튼 보정팬티 12종,0,0,0,0,0,0,0,507874000,0,222340000,709153000,849557000,2288924000
대동모피 19 F/W 폭스 베스트,0,0,0,0,0,0,243047000,120609000,500594000,0,726379000,697065000,2287694000
코이모 리빙박스 8종,170065000,153874000,508890000,401738000,277054000,0,0,0,226874000,75180000,414939000,41124000,2269738000
아키 풀커버 라이크라 레이스 패키지(106차)(랜덤2세트추가),0,0,0,0,0,2010088000,247110000,0,0,0,0,0,2257198000
IH 옛 가마솥 세트,0,0,0,0,0,0,0,0,82650000,523364000,293789000,1348732000,2248535000
칼리베이직 2019 패브릭 백 4종 (시즌 3),0,0,0,0,0,0,0,121590000,1061588000,846327000,202853000,0,2232358000
벨레즈온 브라캡 심리스 원피스 패키지,0,0,0,0,534651000,370933000,273451000,990133000,0,0,0,0,2169168000
무이자 에지리 스텐큐브 프라이팬,0,0,536825000,253572000,623764000,750294000,0,0,0,0,0,0,2164455000
일시불 선일금고 이볼브 시리즈 EV-040,0,86501000,356349000,261775000,63475000,27415000,203423000,168347000,228856000,196698000,67653000,499528000,2160020000
도스문도스 카이만 엠보 소가죽 핸드백 1종,814692000,1331400000,0,0,0,0,0,0,0,0,0,0,2146092000
보루네오 루나시즌2 유로탑 멀티수납형 LED침대 킹,0,0,0,0,0,0,432014000,527346000,413922000,437953000,281826000,38221000,2131282000
네오젠 에이지큐어 원미닛 링클 리프트,0,0,0,0,0,0,0,0,0,338144000,1054240000,726178000,2118562000
유귀열의 The 귀한 능이 누룽지삼계탕 8팩,0,0,0,0,0,232195000,1617988000,261355000,0,0,0,0,2111538000
피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,1146752000,831184000,40152000,0,0,0,0,0,0,0,0,83130000,2101218000
영산포숙성 홍어8팩+무침3통,667236000,711383000,521054000,0,31631000,39398000,85084000,0,0,0,0,0,2055786000
일시불 쿠쿠전기밥솥 10인용,85291000,574925000,538915000,568503000,274129000,0,0,0,0,0,0,0,2041763000
무이자 LG 울트라HD TV 55UK6800HNC,311017000,200597000,110074000,284642000,381839000,145222000,316336000,202723000,0,0,0,0,1952450000
마리노블 밍크 롱코트,927168000,1012806000,0,0,0,0,0,0,0,0,0,0,1939974000
보루네오 루나시즌2 유로탑 멀티수납형 LED침대 퀸,0,0,0,0,0,0,341919000,486715000,381989000,444313000,246853000,26910000,1928699000
아가타 골든 마스터 2종 (펌프스1종+플랫슈즈1종),0,0,0,0,0,0,0,0,1525792000,393731000,0,0,1919523000
사용불가미리구운 자연산 바다장어 9팩,0,0,0,0,385418000,775734000,229064000,514381000,0,0,0,0,1904597000
일시불 클란츠 멀티쿡,0,0,0,0,0,0,0,0,0,0,948141000,954840000,1902981000
(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),0,0,117142000,103339000,257596000,311020000,253026000,110352000,201375000,303008000,230763000,0,1887621000
(무)[보루네오] 피올레 천연소가죽 소파 4인용,0,0,0,0,199516000,268759000,219766000,332483000,322864000,293266000,183090000,51347000,1871091000
하늘내린 용대리황태10마리,0,0,0,0,0,0,0,585655000,1130003000,0,0,95700000,1811358000
실크트리 풍기인견 데일리 쿨 이지탑 패키지,0,0,0,1256661000,551642000,0,0,0,0,0,0,0,1808303000
실크테라피 오리지널 에센스 패키지,0,0,0,0,0,0,0,56713000,669700000,332226000,296731000,445634000,1801004000
아키 풀커버 라이크라 레이스 패키지(106차),0,0,1212551000,584100000,0,0,0,0,0,0,0,0,1796651000
CERINI by PAT 남성 스프링 릴렉스 팬츠 3종,0,0,1125582000,650872000,0,0,0,0,0,0,0,0,1776454000
(쿠)무이자 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),0,0,108900000,112795000,270827000,293012000,259942000,130279000,168287000,274443000,152733000,0,1771218000
초특가)에버라스트 드로즈 10+4종,0,0,0,0,274010000,562784000,647821000,270746000,0,0,0,0,1755361000
국내산 손질갑오징어 9팩,0,0,187297000,0,0,0,611493000,946970000,0,0,0,0,1745760000
2019 S/S 엘리자베스아덴 선글라스 2종,0,0,555735000,714186000,267737000,200687000,0,0,0,0,0,0,1738345000
일시불 삼성 노트북 9 메탈 고급형 NT900X5J-K28,430250000,749130000,526551000,0,29278000,0,0,0,0,0,0,0,1735209000
일시불 2019년 타이거 충전식 무선 예초기+배터리 1개,0,0,0,0,0,0,459785000,1259526000,0,0,0,0,1719311000
닥터 슈퍼 루테인,0,109399000,715889000,49834000,0,315309000,226310000,52264000,169568000,0,0,70847000,1709420000
엘렌실라 에스까르고에센스 커버쿠션,0,0,0,0,0,0,489970000,52688000,464871000,420094000,165410000,99734000,1692767000
K-SWISS 남성에어핏트랙수트,0,0,155286000,1424808000,102638000,0,0,0,0,0,0,0,1682732000
일시불 매직쉐프 플랫타입 전자레인지,0,0,0,0,0,0,404958000,90539000,633826000,530864000,0,0,1660187000
(일)[보루네오] 피올레 천연소가죽 소파 4인용,0,0,0,0,172626000,244183000,201497000,255821000,331462000,261109000,154210000,36512000,1657420000
궁중 손질새우 200미 + 동태포 200g,1650690000,0,0,0,0,0,0,0,0,0,0,0,1650690000
소들녘 소 갈비탕 10팩,0,0,0,0,0,212446000,547037000,788559000,97684000,0,0,0,1645726000
영광 生 모시떡 130개(동부기피80개+검정깨50개),0,0,0,0,0,0,0,1059865000,583378000,0,0,0,1643243000
푸마 스트레치 심리스 드로즈 11종,0,0,0,0,0,0,0,0,0,0,190009000,1448335000,1638344000
영산포숙성홍어회7팩,0,0,0,0,0,0,0,0,0,0,0,1633342000,1633342000
테팔 에어포스 라이트 무선 청소기,0,0,0,0,0,0,0,0,0,270757000,1046420000,306515000,1623692000
[라쉬반］FC바로셀로나 에디션 드로즈SET,0,0,0,0,0,1050383000,417133000,107313000,47063000,0,0,0,1621892000
리복 델타 피트니스 드로즈 12종,0,0,0,0,0,96529000,779288000,248197000,493394000,0,0,0,1617408000
오모떼 프런트후크 프레쉬 데오브라 시즌4,0,0,0,0,129974000,1459383000,0,0,0,0,0,0,1589357000
코몽트 남성 프린트티셔츠8종,0,0,0,0,0,0,406744000,1181834000,0,0,0,0,1588578000
일시불 에지리 스텐큐브 프라이팬,0,0,375104000,201409000,435153000,549878000,0,0,0,0,0,0,1561544000
해피콜  IH 진공 스텐 냄비 에디션,239493000,429379000,294637000,506837000,0,0,0,22090000,55820000,0,0,0,1548256000
제주바다 7분 손질문어,837865000,151721000,237899000,35335000,0,109151000,86676000,0,0,0,84108000,0,1542755000
푸마 심리스 드로즈 블랙에디션 패키지,0,749332000,695562000,92585000,0,0,0,0,0,0,0,0,1537479000
참바다손질낙지100미+양념장+연포탕육수,0,0,0,0,0,0,0,162166000,788074000,320617000,263000000,0,1533857000
뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),0,0,0,0,723072000,809125000,0,0,0,0,0,0,1532197000
소들녘 소 갈비탕,1198736000,332747000,0,0,0,0,0,0,0,0,0,0,1531483000
LG 울트라HD TV 65UM7900BNA,0,0,0,0,0,0,0,0,0,0,430057000,1099414000,1529471000
카파 드로즈 패키지 12종,985666000,525839000,0,0,0,0,0,0,0,0,0,0,1511505000
일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),950113000,556585000,0,0,0,0,0,0,0,0,0,0,1506698000
일시불 매직쉐프 10리터 듀얼쿡 에어프라이어,0,0,0,62216000,415494000,712698000,89430000,91473000,39824000,26324000,57711000,0,1495170000
보코 폭스퍼구스다운 롱패딩,953167000,524420000,0,0,0,0,0,0,0,0,0,0,1477587000
대동모피 패션밍크 후드 롱코트 (19FW),0,0,0,0,0,0,0,0,441071000,0,0,1023677000,1464748000
라라쎄 쉬폰 롤업재킷 2종 세트,0,0,0,0,425882000,649137000,346017000,0,0,0,0,0,1421036000
2019 S/S 로베르타 디 까메리노 선글라스,0,0,0,0,1333629000,86332000,0,0,0,0,0,0,1419961000
CERINI by PAT 남성 에어 카라티셔츠 4종,0,0,0,0,0,280179000,859888000,263753000,0,0,0,0,1403820000
"유귀열의 The 귀한 갓김치3kg+열무김치3kg, 총6kg",0,0,0,0,0,0,1034135000,364566000,0,0,0,0,1398701000
바다먹자 국내산 손질꽃게 7팩,789607000,294761000,301498000,0,0,0,0,0,0,0,0,0,1385866000
라라츄 틴트 아이브로우 바,0,0,0,0,0,0,0,295736000,269339000,546600000,273352000,0,1385027000
완도꼬마활전복 1.3kg,0,0,0,0,0,0,0,0,203434000,209097000,690305000,280205000,1383041000
무이자 매직쉐프 10리터 듀얼쿡 에어프라이어,0,0,0,51272000,403459000,579056000,89740000,118471000,35901000,44412000,57745000,0,1380056000
[K-SWISS] 19 F/W 여성 패딩 트랙수트 2종,0,0,0,0,0,0,0,0,0,503881000,792935000,78074000,1374890000
무이자 LG 울트라HD TV 65UM7900BNA,0,0,0,0,0,0,0,0,230014000,474741000,650459000,0,1355214000
깐깐송도순 포기김치 8kg+ 백김치 2kg,0,0,0,0,0,0,49940000,694195000,318726000,288787000,0,0,1351648000
일시불 LG 울트라HD TV 75UK6200KNB,0,0,135813000,369206000,397183000,221618000,220589000,0,0,0,0,0,1344409000
피시원 국내산 절단 햇 꽃게 2.4kg,0,0,0,0,0,0,0,0,0,979951000,351764000,0,1331715000
[루이띠에] 18K 베르니아 주얼리 세트,0,0,0,0,0,0,0,671903000,403070000,151474000,54671000,49314000,1330432000
일시불  쿠쿠전기밥솥 6인용(QS),0,0,0,0,0,0,26816000,201756000,277537000,215947000,300831000,304379000,1327266000
보몽드 샐비어 시어서커 리플 침구세트 K,0,0,0,0,245469000,730561000,329534000,0,0,0,0,0,1305564000
김정문의 섬진강 재첩국 11팩 3.3kg,0,0,479232000,342573000,0,0,0,0,257859000,218185000,0,0,1297849000
K-SWISS 남성PK티셔츠4종,0,0,0,141232000,762857000,385206000,0,0,0,0,0,0,1289295000
디비노 선글라스 세트,0,0,0,0,109974000,700450000,473763000,0,0,0,0,0,1284187000
쿠미투니카 롱 하이웨스트 팬티세트,0,0,0,0,0,0,0,0,0,1275080000,0,0,1275080000
하늘내린 용대리황태10미,1116022000,156808000,0,0,0,0,0,0,0,0,0,0,1272830000
피시원 국내산 절단 햇 꽃게 7팩,0,0,0,0,0,0,0,286104000,977973000,0,0,0,1264077000
NNF SS트레이닝 세트(8월),0,0,0,0,0,0,0,957040000,305569000,0,0,0,1262609000
보몽드 샐비어 시어서커 리플 침구세트 Q,0,0,0,0,233015000,695346000,327905000,0,0,0,0,0,1256266000
라쉬반 프레쉬 에어 에디션 드로즈 패키지(+캐리어),0,0,0,0,0,0,0,0,0,502230000,341334000,412278000,1255842000
헤드 파이로라이트 드로즈 10종 패키지,0,0,0,47473000,117925000,615098000,471107000,0,0,0,0,0,1251603000
무이자 클란츠 멀티쿡,0,0,0,0,0,0,0,0,0,0,630269000,613777000,1244046000
푸마 드라이셀 브라탑 4종세트(런닝형)(8월),0,0,0,0,0,0,0,1243689000,0,0,0,0,1243689000
락앤락 비스프리 온더테이블 밀폐용기세트,297753000,509767000,0,0,206123000,55872000,95613000,0,71718000,0,0,0,1236846000
(퀸+퀸)일월 품안애 온수매트,0,0,0,0,0,0,0,0,52364000,0,185520000,998953000,1236837000
히트융 극세사 퍼융기모 남성 동내의 패키지,0,0,0,0,0,0,0,0,0,0,609664000,626475000,1236139000
NNF 와이드데님팬츠 2종,0,0,0,0,237114000,421662000,206623000,369809000,0,0,0,0,1235208000
피시원 국내산 손질꽃게 7팩,0,0,0,472979000,757135000,0,0,0,0,0,0,0,1230114000
천연담아 명품다시팩 100포,719299000,272664000,0,0,0,0,0,0,0,0,220515000,0,1212478000
푸마 드라이셀 치마레깅스 3종,0,96522000,444791000,54635000,0,0,0,0,42477000,264856000,308971000,0,1212252000
바바코코 젤네일스트립 SET,0,0,0,0,0,702612000,378386000,108635000,0,0,0,0,1189633000
에코라믹 컬링스톤프라이팬세트,219169000,295314000,183017000,163901000,0,0,317308000,0,0,0,0,0,1178709000
스튜디오럭스 후드롱구스다운코트,0,0,0,0,0,0,0,0,0,312375000,863189000,0,1175564000
로베르타 디 까메리노 Y밸런스업 지퍼쉐이핑 란쥬,0,0,549941000,619173000,0,0,0,0,0,0,0,0,1169114000
무이자 쿠쿠전기밥솥 6인용(QS),0,0,0,0,0,0,31331000,162429000,252472000,210395000,272826000,236388000,1165841000
로베르타 디 까메리노 트리플커버 지퍼쉐이핑 란쥬,1028070000,120737000,0,0,0,0,0,0,0,0,0,0,1148807000
무이자 2019년 타이거 충전식 무선 예초기+배터리 1개,0,0,0,0,0,0,323085000,824489000,0,0,0,0,1147574000
스팀큐다리미,0,0,0,0,0,0,0,0,171034000,777690000,106006000,88622000,1143352000
(퀸+싱글)일월 품안애 온수매트,0,0,0,0,0,0,0,0,30412000,0,203823000,905967000,1140202000
쿠미투니카 퍼펙트클린 레이스 브라팬티,0,159355000,835698000,131714000,0,0,0,0,0,0,0,0,1126767000
유귀열의 The귀한 소한마리찜 7팩+무료체험1팩,0,0,0,0,0,0,0,186764000,608840000,328489000,0,0,1124093000
오가닉뷰티 쿨 번아웃 레이스 란쥬세트,0,0,0,0,0,134548000,635536000,349974000,0,0,0,0,1120058000
크로커다일 풀커버 레이스 브라팬티 4세트,735344000,368283000,0,0,0,0,0,0,0,0,0,0,1103627000
스튜디오럭스 밴딩팬츠 4종,0,0,0,0,0,0,0,0,0,191261000,730317000,181918000,1103496000
헤스티지 마론 양가죽 남성집업재킷,0,0,914680000,71616000,0,0,114718000,0,0,0,0,0,1101014000
오렐리안 풍기인견 란쥬패키지,0,0,0,531779000,356767000,209631000,0,0,0,0,0,0,1098177000
19년 멋진밥상 흥양농협 햅쌀 20kg,0,0,0,0,0,0,0,0,909983000,180480000,0,0,1090463000
뱅뱅 여성 썸머 데님팬츠 3종(2019 S/S),0,0,0,0,508001000,574312000,0,0,0,0,0,0,1082313000
무이자 매직쉐프 플랫타입 전자레인지,0,0,0,0,0,0,268966000,56270000,413829000,339169000,0,0,1078234000
오모떼 데오 쿨 란쥬쉐이퍼 8종,0,0,0,0,0,490155000,585558000,0,0,0,0,0,1075713000
NNF 쉬폰 썸머 앙상블세트,0,0,0,0,0,180294000,526867000,364922000,0,0,0,0,1072083000
일시불 LG 휘센 씽큐 에어컨 2IN1형 FQ17V9KWA2,0,0,0,174864000,604103000,177280000,32760000,78459000,0,0,0,0,1067466000
무이자 종근당건강 락토핏 생유산균골드 단하루,0,0,45661000,99111000,117292000,98319000,82735000,160307000,96049000,92568000,126040000,145277000,1063359000
푸마 드라이셀 쉐이핑 레깅스 3종,0,140937000,552964000,67642000,0,0,0,0,13623000,91976000,123059000,66728000,1056929000
카파 발란스테크 브라팬티 12세트,658935000,392799000,0,0,0,0,0,0,0,0,0,0,1051734000
(일) 삼익가구 LED 제니비 서랍형 침대 SS,0,231664000,404480000,296743000,118143000,0,0,0,0,0,0,0,1051030000
일시불 캐리어 벽걸이에어컨 6형 ARC06NQT,0,0,0,0,167894000,579814000,300563000,0,0,0,0,0,1048271000
아키 조끼형 더블보정 란쥬 쉐이퍼(96차),0,801399000,160529000,83253000,0,0,0,0,0,0,0,0,1045181000
킹스스파 편백 반신욕기,0,0,0,0,0,0,0,0,524199000,414737000,104224000,0,1043160000
무이자 LG 울트라HD TV 75UK6200KNB,0,0,71233000,369378000,323977000,129976000,136456000,0,0,0,0,0,1031020000
무농약레드비트즙 90봉,0,0,0,0,0,0,0,0,181575000,287445000,218989000,334707000,1022716000
파뷔에 항균도마 1+1+칼세트,0,0,0,0,0,714337000,221598000,0,84489000,0,0,0,1020424000
푸마 언더셔츠 7종 패키지(1-1차),0,0,0,0,44607000,688672000,287133000,0,0,0,0,0,1020412000
마르엘라로사티 휘메일 풀스킨 하이넥 밍크코트 1종,0,0,0,0,0,0,0,753611000,251948000,0,0,0,1005559000
헤드 파이로라이트 드로즈 10종 패키지(7월),0,0,0,0,0,0,114506000,791412000,99441000,0,0,0,1005359000
(점보특대형)일월 에너지세이브 카페트매트,0,0,0,0,0,0,0,0,0,777460000,222110000,0,999570000
일시불 대우전자 벽걸이 에어컨 DOZ-S06JK,0,0,0,0,928922000,49415000,0,0,0,0,0,0,978337000
푸마 에어핏 서포트 브라세트 15종+4종,974350000,0,0,0,0,0,0,0,0,0,0,0,974350000
파격가 니봇 무선 진공 물걸레 로봇청소기 +폴더블 헤어드라이어기,0,0,0,0,0,0,0,0,0,189468000,779943000,0,969411000
통째로 착즙한 루비 석류즙 84포,0,660418000,285316000,21011000,0,0,0,0,0,0,0,0,966745000
CERINI by PAT 남성 어반 카라 티셔츠 4종(8월),0,0,0,0,0,0,0,80840000,566853000,317066000,0,0,964759000
마르엘라로사티 나파 휘메일 풀스킨 밍크하프코트 1종,0,0,0,0,0,267908000,495757000,143714000,0,46848000,0,0,954227000
오모떼 쉐이핑 브라팬티 10종(7월),0,0,0,0,0,0,0,818567000,132966000,0,0,0,951533000
쿠미투니카 코르셋 하이웨스트 팬티세트,0,0,0,0,0,0,604581000,161721000,181687000,0,0,0,947989000
로베르타 디 까메리노 올레이스 지퍼브라팬티,843043000,103549000,0,0,0,0,0,0,0,0,0,0,946592000
김정배 명인 젓갈세트 8통,0,0,0,0,0,0,0,0,136869000,562887000,122110000,119654000,941520000
일시불 락앤락 유로오븐글라스 세트,0,293353000,118651000,0,0,64291000,263010000,108570000,93029000,0,0,0,940904000
보코 에스닉 앙상블,0,0,0,0,629159000,212399000,97472000,0,0,0,0,0,939030000
임페리얼 남성 스트레치팬츠 3종,0,0,0,0,0,0,0,0,150476000,476271000,311667000,0,938414000
시스마르스 플렉시블 웨지 펌프스,0,0,0,0,0,0,0,0,0,938056000,0,0,938056000
[가이거] 블랙 에디션 다이아몬드 워치(여성용),0,0,0,0,0,0,366410000,30671000,307505000,136967000,90558000,0,932111000
유귀열의 The 귀한 한우 한판 12팩,0,0,0,0,0,0,0,246348000,0,481090000,200324000,0,927762000
젠트웰 스트레치 통풍 메쉬 자켓 1종,0,0,0,0,468939000,189195000,251522000,0,0,0,0,0,909656000
CERINI by PAT 남성 소프트 기모 릴렉스팬츠,906207000,0,0,0,0,0,0,0,0,0,0,0,906207000
오모떼 프런트후크 데오브라 시즌2,905069000,0,0,0,0,0,0,0,0,0,0,0,905069000
더블유베일 캐시라이크 니트 4종,126663000,534048000,242929000,0,0,0,0,0,0,0,0,0,903640000
일시불 국내제조 노비타 뉴스파 비데 무료설치,0,0,0,0,0,0,0,0,0,245674000,156871000,496277000,898822000
